"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Попытка создать баннер с неверным телом в запросе","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода CreateBanner: POST /banner","",""
"","3","Попытка создать баннер с существующими feature и tag ids","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода CreateBanner: POST /banner","",""
"","0","Попытка получить список баннеров пользователя с неверными правами","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","46","Тестирование апи метода CreateBanner: POST /banner","","2026-06-20","passed","2026-06-20","","ApiSuite","",""
"","10","Успешное получение списка баннеров","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","5","Успешное получение ограниченного списка баннеров по числу","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","0","Попытка получения баннера пользователя с неверными правами","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","54","Успешное удаление баннера по фиче","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","0","Попытка удалить баннер без параметров запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","12","Успешное обновление баннеров с сохранением только трёх последних версий","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","12","Успешное обновление баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","0","Попытка удалить баннер с неверным типом параметра в строке запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteBanner: DELETE /banner","",""
"","3","Успешное получение активного баннера из кэша","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","6","Попытка обновить баннер на существующие у другого баннера feature и tag ids","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","4","Успешное получение списка баннеров по тэгу","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","1","Попытка получения неактивного баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","0","Попытка удалить баннер неавторизованным пользователем","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteBanner: DELETE /banner","",""
"","0","Попытка удалить баннер пользователя с неверными правами","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteBanner: DELETE /banner","",""
"","0","Попытка получения баннера неавторизованным пользователем","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","0","Попытка получения баннера с передачей не всех параметров запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","3","Успешное получение смещённого списка баннеров","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","58","Тестирование апи метода GetAdminBanner: GET /banner","","2026-06-20","passed","2026-06-20","","ApiSuite","",""
"","1","Попытка обновить баннер пользователя с неверными правами","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
